question_id,subject_id,question_group_id,question_content,question_file,answer_type,created_at,updated_at,active_flag
16,2,5,"Điền vào (1) dòng code để định nghĩa routing, khi truy cập vào “/” thì action “welcome#index” được gọi.
 
Rails3::Application.routes.draw do
 　__(1)__
 end",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
17,2,5,"Điền vào (1) từ thích hợp để định nghĩa routing, khi truy cập vào “/users/1/preview” thì action “users#preview” được gọi.
 
Rails3::Application.routes.draw do
　resources :users do
  　__(1)__ do
         get :preview
     end
   end
             end",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
18,2,5,"Điền vào (1) dòng code khi muốn tất cả các action không được chạy khi kết quả thực hiện của current_user.admin? là false
 
class Admin::UsersController < ApplicationController
　__(1)__
　def index
  　@users = Users.all
　end
  private
  def require_admin
  　redirect_to welcome_path unless current_user.admin?
  end
end",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
19,2,5,"Điền vào (1) đoạn code để truyền đoạn message “Book was successfully created.
” vào flash và thực hiện redirect.
 
class BooksController < ApplicationController
  def create
    @book = Book.new(params[:book])
    if @book.save
      __(1)__
    else
      render :action => :new
    end
  end
end",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
20,2,5,"Điền vào (1) code thích hợp để tạo link dẫn đến trang của từng user
            
Code 1:
class User < ActiveRecord::Base
end
 
Code 2:
 <% User.all.each do |user| %>
 <%= __(1)__ user.name, user %>
 <% end %>",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
21,2,5,"Đoạn code bên dưới muốn định nghĩa title của trang là “Hello world”. Điền vào (1) đoạn code thích hợp
 
Code 1:
<html>
　<head>
     __(1)__
   </head>
   <body>
     <%= yield %>
   </body>
 </html>
 
Code 2:
<% content_for :head do %>
　<title>Hello world</title>
<% end %>",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
22,2,5,"File config/routes.rb được định nghĩa như Code 1 bên dưới. Đoạn code ở file 2 sẽ sinh ra string nào? Chọn đáp án thích hợp.
 
Code 1:
Rails3::Application.routes.draw do
　resources :users
end

Code 2:
<%= url_for User.find(1) %>",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
23,2,5,"Điền vào (1) code để cài đặt địa chỉ người gửi mặc định.
 
class NotifierMailer < ActionMailer::Base
　　__(1)__
  　def welcome(recipient)
     　mail :to => recipient.email
    end
 end",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
24,2,5,"Lệnh để khởi tạo một project rails mới tên là “ittrain” là gì?
 
1.     rails create ittrain
2.     rails project ittrain
3.     rails new ittrain
4.     rails ittrain",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
25,2,5,"Lựa chọn nào dưới đây không phải là thành phần cơ bản của Rails 3?",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
26,2,5,"Kết quả khi chạy lệnh ""Person"".tableize  là gì?",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
27,2,5,"Kết quả trả về khi chạy lệnh save ở đoạn code thứ 2 là gì?
 
  Code 1
  class User < ActiveRecord::Base
    validates :login, :length => {:minimum => 5}
  end
  Code 2
  user = User.new(:login => ""foo"")
  user.save",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
28,2,5,"Chọn dòng code để lấy ra tất cả các record có giá trị trường login là “foo”
 
class User < ActiveRecord::Base
　validates :login, :presence => true
end",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
29,2,5,"Điền vào (1) từ thích hợp để khi tạo và update instace của model User thì màn hình log in ra chữ “debug”
 
class User < ActiveRecord::Base
  ___(1)__ :logging
  private
    def logging
    logger.debug ""debug""
  end
end
",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
30,2,5,"Điền vào (1) dòng code thích hợp để xoá trường email trong bảng users
 
class RemoveEmailToUsers < ActiveRecord::Migration
  def self.up
    __(1)__
  end
  def self.down
  end
end",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
31,2,5,"Sau khi chạy rake db:migrate thì trường nào của bảng users không được định nghĩa?
 
class CreateUsers < ActiveRecord::Migration
  def self.up
    create_table :users do |t|
    　t.string :login
    　t.timestamps
  　end
  end
  def self.down
    drop_table :users
  end
end",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
32,2,5,"Nếu định nghĩa resource :user thì sẽ tạo ra cac route nào?
 
 
Rails3::Application.routes.draw do
  Resource :user
end",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
33,2,5,"Điền vào (1) dòng code để gán giá trị cho session.
 
class SessionsController < ApplicationController
  def create
    if @user = User.authenticate(params[:login], params[:password])
      __(1)__
      redirect_to root_path
    else
    　render :action => :new
　　end
   end
end",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
34,2,5,"File routes.rb được định nghĩa như bên dưới. Helper method nào dùng để gọi đến action “comments#show”?
 
Rails3::Application.routes.draw do
  resources :message_boards do
    resources :comments
  end
end
 
1.     comment_url(@message_board, @comment)
2.     comments_url(@message_board)
3.     message_board_comment_url(@message_board, @comment)
4.     message_board_comments_url(@message_board)",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
35,2,5,"Điền vào (1) từ thích hợp để trả về respond dự liệu.
 
class UsersController < ApplicationController
  def index
    @users = User.all
    __(1)__ do |format|
      format.html
      format.xml { render :xml => @users }
    end
  end
end
 
1.     request_from
2.     request_to
3.     respond_from
4.     respond_to",NULL,1,"2013-10-14 12:00:00","2013-10-14 12:00:00",1
